Clients;Entries;Rd;Wr;Sec;Client1;Client2;Client3;Client4;Client5;Avg;RdPercent;WrPercent
5;50;0;20;5;1;1;1;1;1;100;0;100
5;50;1;19;5;0,546644607921874;0,548403765724159;0,553370470854538;0,554199868528643;0,54884208827564;55,0292160260971;5;95
5;50;2;18;5;0,446052004254227;0,445075862068966;0,442835856588363;0,449130879345603;0,447720197765977;44,6162960004627;10;90
5;50;3;17;5;0,395812767357683;0,392055089126928;0,396768585744964;0,399049881235154;0,395962764969349;39,5929817686816;15;85
5;50;4;16;5;0,363434993471367;0,369634819729943;0,363050031547216;0,371181969640874;0,36954142115192;36,7368647108264;20;80
5;50;5;15;5;0,345431255337319;0,343896861099244;0,355505911292954;0,342543671158076;0,348772533056911;34,7230046388901;25;75
5;50;6;14;5;0,335109945306396;0,339917072897406;0,341962991862669;0,332314531814393;0,335744931437705;33,7009894663714;30;70
5;50;7;13;5;0,331570805793841;0,333099283808454;0,32414764722457;0,329650918267209;0,325746958910253;32,8843122800865;35;65
5;50;8;12;5;0,331719367588933;0,325283342119135;0,325968672712284;0,323962339212306;0,329766921253621;32,7340128577256;40;60
5;50;9;11;5;0,315983533202076;0,326981300089047;0,328654887432317;0,329830205540661;0,316227362381209;32,3535457729062;45;55
5;50;10;10;5;0,327501795156342;0,318512903332125;0,320961412688031;0,32540279094088;0,316535640274991;32,1782908478474;50;50
5;50;11;9;5;0,325086016932772;0,324771138321295;0,333926086284212;0,326150984343513;0,325923910931489;32,7171627362656;55;45
5;50;12;8;5;0,336560706023477;0,334966267027631;0,33275608277773;0,331188331188331;0,327354065323141;33,2565090468062;60;40
5;50;13;7;5;0,344497607655502;0,345034013605442;0,343639335330972;0,334065230318833;0,341878011089901;34,182283960013;65;35
5;50;14;6;5;0,358647376984302;0,351579040225829;0,357478792141005;0,353785495946485;0,35002435028999;35,4303011117522;70;30
5;50;15;5;5;0,365779002142639;0,373476303677103;0,370585854497622;0,376353377725817;0,370908906677475;37,1420688944131;75;25
5;50;16;4;5;0,391709672049276;0,390689353912718;0,391664252307438;0,402217533407803;0,390460825680483;39,3348327471543;80;20
5;50;17;3;5;0,425172337113631;0,429191233730115;0,439001594370224;0,430062630480167;0,435738755663609;43,1833310271549;85;15
5;50;18;2;5;0,487344410696206;0,487316898892462;0,491634643807272;0,493956629932456;0,491629695356403;49,037645573696;90;10
5;50;19;1;5;0,603672625562447;0,613678931786599;0,608484554227105;0,610306054957609;0,612507552870091;60,972994388077;95;5
5;50;20;0;5;1;1;1;1;1;100;100;0
