;Entries;;;;;;;;;Avg
5;1;2;2;5;0,56286488160957;0,561239357638479;0,561784231059653;0,557358099489796;0,558120760749986;56,0273466109497
5;2;2;2;5;0,436666866518776;0,441816809360164;0,441266790822998;0,438310552050316;0,443929674507009;44,0398138651852
5;3;2;2;5;0,438842808441041;0,440525264544643;0,446007416823372;0,443594505053915;0,446537180793512;44,3101435131297
5;4;2;2;5;0,46382185618517;0,46735705074129;0,462708926945334;0,466053782523104;0,461440582575587;46,4276439794097
5;5;2;2;5;0,488741824288492;0,487438453356143;0,491812653272189;0,486095049286855;0,491169904736644;48,9051576988065
5;6;2;2;5;0,513032540333607;0,513357526999257;0,510775554163507;0,512189522476824;0,516110365008134;51,3093101796266
5;7;2;2;5;0,533537682724349;0,533584156587573;0,532038518415016;0,535018668146247;0,536212424617735;53,4078290098184
5;8;2;2;5;0,556285743522108;0,552772092704177;0,553611546054871;0,554326012766585;0,554623864739818;55,4323851957512
5;9;2;2;5;0,576052548274771;0,573957372105062;0,575259786795664;0,570343670656511;0,578180310973697;57,4758737761141
5;10;2;2;5;0,588726341990326;0,591182553111487;0,592922950531072;0,588703786611372;0,588557466447904;59,0018619738432
5;11;2;2;5;0,609162746293378;0,60539986408192;0,606608133086876;0,60910209959123;0,606437743303701;60,7342117271421
5;12;2;2;5;0,623999249437078;0,620677785774635;0,62163638847152;0,625389726954933;0,625965124904663;62,3533655108566
5;13;2;2;5;0,63335052875935;0,635666402867651;0,636795694666092;0,635780462061686;0,634658865760705;63,5250390823097
5;14;2;2;5;0,649677790288192;0,642790472149827;0,649736671235842;0,653529411764706;0,648028889557629;64,8752646999239
5;15;2;2;5;0,663872559246941;0,66247817640839;0,658934952212565;0,658265719456791;0,658501760173309;66,0410633499599
5;16;2;2;5;0,671579184613844;0,673204725289741;0,669731656971289;0,671437097456047;0,673345718881311;67,1859676642446
5;17;2;2;5;0,685576106136854;0,682701435032665;0,683165371313823;0,686755724126391;0,684991322846107;68,4637991891168
5;18;2;2;5;0,691880696937952;0,689025795262986;0,694678107450168;0,690941234878849;0,693248644536486;69,1954895813288
5;19;2;2;5;0,698555144759794;0,701698163076516;0,700006598337219;0,704226585243067;0,703375652002756;70,157242868387
5;20;2;2;5;0,709109644025353;0,709006789641291;0,708409142939766;0,712846619153141;0,70766782718974;70,9408004589858
5;21;2;2;5;0,717696563364433;0,720054813131727;0,718106875241859;0,718754758084351;0,717712481443955;71,8465098253265
5;22;2;2;5;0,724121081820625;0,723617906066536;0,728918647796082;0,723884962222764;0,729628730890561;72,6034265759313
5;23;2;2;5;0,733150427782391;0,731563953698028;0,732635425054987;0,729776102270393;0,732441552181249;73,1913492197409
5;24;2;2;5;0,736298573418512;0,741144446842699;0,741454642012263;0,737770987223599;0,738796492289084;73,9093028357231
5;25;2;2;5;0,745941558441558;0,749037489773329;0,746543001686341;0,744871872538923;0,747290848686198;74,673695422527
5;26;2;2;5;0,75197854744361;0,755199301647969;0,753913484564297;0,750239404149672;0,749884172636231;75,2242982088356
5;27;2;2;5;0,759047199588931;0,75940208025227;0,758434266660129;0,757611572791628;0,756188650966228;75,8136754051837
5;28;2;2;5;0,766502129307007;0,762096380840894;0,761528374735922;0,765333042888953;0,761359059788379;76,3363797512231
5;29;2;2;5;0,768901412574105;0,768672720365673;0,768267045799764;0,769106645151826;0,770051982122037;76,8999961202681
5;30;2;2;5;0,77554742520628;0,773341733815256;0,774700029749116;0,773255368308093;0,776543807178044;77,4677672851358
5;50;2;2;5;0,843401208849246;0,842975012341036;0,842315180836628;0,840565870910699;0,843168363722472;84,2485127332016
